SS00000009,210879_s_at
Susc10002537,217620_s_at
Susc10002551,1554834_a_at
Susc10002564,200854_at
Susc10002567,207961_x_at
Susc10002575,217149_x_at
Susc10002576,201064_s_at
Susc10002578,38487_at
Susc10002585,209493_at
Susc10002594,203751_x_at
Susc10002608,200830_at
Susc10002609,207005_s_at
Susc10002613,1555215_a_at
Susc10002614,208992_s_at
Susc10002625,222895_s_at
Susc10002628,201960_s_at
Susc10002631,206467_x_at
Susc10002632,1553177_at
Susc10002638,208472_at
Susc10002642,203927_at
Susc10002644,205220_at
Susc10002645,210473_s_at
Susc10002673,217799_x_at
Susc10002681,203591_s_at
Susc10002694,219859_at
Susc10002698,238725_at
Susc10002702,209583_s_at
Susc10002711,210419_at
Susc10002727,206255_at
Susc10002730,1729_at
Susc10002735,214049_x_at
Susc10002746,212312_at
Susc10002774,203415_at
Susc10002785,212330_at
Susc10002792,205381_at
Susc10002793,205084_at
Susc10002796,244565_at
Susc10002806,206970_at
Susc10002810,224754_at
Susc10002815,203440_at
Susc10002822,219541_at
Susc10002824,239401_at
Susc10002826,231219_at
Susc10002837,227401_at
Susc10002846,218849_s_at
Susc10002854,238339_x_at
Susc10002858,205227_at
Susc10002878,213941_x_at
Susc10002882,208892_s_at
Susc10002891,227354_at
Susc10002897,210477_x_at
Susc10002910,210538_s_at
Susc10002938,209866_s_at
Susc10002948,238243_at
Susc10002951,211199_s_at
Susc10002981,207084_at
Susc10003007,205001_s_at
Susc10003045,209871_s_at
Susc10003070,222351_at
Susc10003079,218031_s_at
Susc10003092,218009_s_at
Susc10003095,214111_at
Susc10003098,235099_at
Susc10003108,208522_s_at
Susc10003119,221496_s_at
Susc10003127,202363_at
Susc10003137,205264_at
Susc10003144,210401_at
Susc10003154,225009_at
Susc10003165,203886_s_at
Susc10003175,223435_s_at
Susc10003178,200066_at
Susc10003197,244301_at
Susc10003200,209906_at
Susc10003203,204639_at
Susc10003245,205869_at
Susc10003249,213937_s_at
Susc10003272,217890_s_at
Susc10003290,204042_at
Susc10003291,212556_at
Susc10003293,202545_at
Susc10003319,212825_at
Susc10003321,224909_s_at
Susc10003333,207375_s_at
Susc10003343,1555310_a_at
Susc10003345,208376_at
Susc10003383,212506_at
Susc10003412,239206_at
Susc10003422,200059_s_at
Susc10003433,208659_at
Susc10003445,213746_s_at
Susc10003462,208876_s_at
Susc10003499,215561_s_at
Susc10003515,213042_s_at
Susc10003517,202589_at
Susc10003534,224811_at
Susc10003547,208195_at
Susc10003548,208640_at
Susc10003550,215277_at
Susc10003569,211833_s_at
Susc10003589,226091_s_at
Susc10003611,242348_at
Susc10003617,210051_at
Susc10003627,207545_s_at
Susc10003650,201929_s_at
Susc10003651,230342_at
Susc10003661,205075_at
Susc10003685,205027_s_at
Susc10003699,204636_at
Susc10003703,221019_s_at
Susc10003706,241926_s_at
Susc10003721,242601_at
Susc10003724,202205_at
Susc10003727,241926_s_at
Susc10003732,206103_at
Susc10003743,204103_at
Susc10003752,1552892_at
Susc10003757,1555578_at
Susc10003758,241709_s_at
Susc10003779,206461_x_at
Susc10003784,210347_s_at
Susc10003838,205448_s_at
Susc10003842,203445_s_at
Susc10003844,202920_at
