A_72_P000091,A_24_P192914
A_72_P141546,A_33_P3303577
A_72_P141606,A_33_P3317253
A_72_P141791,A_24_P943358
A_72_P141791,A_33_P3413523
A_72_P141936,A_23_P64669
A_72_P142471,A_33_P3342957
A_72_P142526,A_24_P285032
A_72_P142526,A_23_P217475
A_72_P142526,A_33_P3237266
A_72_P142526,A_33_P3341787
A_72_P142526,A_33_P3290368
A_72_P142526,A_19_P00322191
A_72_P142526,A_19_P00320989
A_72_P143106,A_24_P236091
A_72_P143151,A_33_P3259339
A_72_P143171,A_23_P201386
A_72_P143171,A_19_P00321656
A_72_P143241,A_23_P140009
A_72_P143271,A_32_P34046
A_72_P143716,A_23_P8834
A_72_P143746,A_24_P251688
A_72_P144561,A_23_P78802
A_72_P144701,A_24_P362969
A_72_P144826,A_23_P3038
A_72_P144971,A_23_P207037
A_72_P144971,A_24_P159434
A_72_P144971,A_23_P26771
A_72_P145221,A_23_P329361
A_72_P145256,A_23_P5441
A_72_P145291,A_23_P125303
A_72_P145436,A_23_P259393
A_72_P145681,A_23_P19657
A_72_P145716,A_23_P121215
A_72_P145851,A_23_P401
A_72_P145851,A_24_P96780
A_72_P146281,A_23_P215341
A_72_P146291,A_33_P3376551
A_72_P146291,A_33_P3358183
A_72_P146291,A_33_P3376546
A_72_P146306,A_23_P63190
A_72_P146306,A_33_P3317825
A_72_P146321,A_23_P155979
A_72_P146326,A_23_P167585
A_72_P146336,A_23_P128323
A_72_P146356,A_23_P376488
A_72_P146366,A_23_P34744
A_72_P146386,A_24_P187948
A_72_P146386,A_33_P3227041
A_72_P146391,A_23_P30122
A_72_P146406,A_24_P292470
A_72_P146416,A_24_P330263
A_72_P146421,A_23_P329261
A_72_P146426,A_24_P261417
A_72_P146426,A_33_P3261293
A_72_P146431,A_23_P69310
A_72_P146431,A_24_P97405
A_72_P146436,A_23_P112162
A_72_P146441,A_23_P85015
A_72_P146446,A_24_P280803
A_72_P146446,A_33_P3239569
A_72_P146451,A_23_P218731
A_72_P146451,A_33_P3225937
A_72_P146456,A_23_P137865
A_72_P146471,A_23_P204286
A_72_P146471,A_33_P3361636
A_72_P146481,A_33_P3243449
A_72_P146486,A_23_P75283
A_72_P146491,A_33_P3369393
A_72_P146491,A_33_P3224803
A_72_P146491,A_33_P3211432
A_72_P146496,A_24_P211709
A_72_P146511,A_23_P142289
A_72_P146516,A_23_P412321
A_72_P146521,A_23_P47616
A_72_P146521,A_33_P3332337
A_72_P146526,A_33_P3369336
A_72_P146526,A_33_P3298460
A_72_P146531,A_23_P434352
A_72_P146531,A_23_P213518
A_72_P146541,A_23_P97700
A_72_P146546,A_32_P358887
A_72_P146551,A_23_P127948
A_72_P146566,A_23_P41114
A_72_P146571,A_23_P31626
A_72_P146576,A_23_P94403
A_72_P146576,A_33_P3399980
A_72_P146596,A_23_P103756
A_72_P146611,A_32_P12580
A_72_P146616,A_23_P329573
A_72_P146621,A_23_P76622
A_72_P146636,A_33_P3550894
A_72_P146641,A_23_P393172
A_72_P146646,A_23_P91081
A_72_P146651,A_33_P3268487
A_72_P146651,A_33_P3366161
A_72_P146661,A_23_P12767
A_72_P146661,A_23_P52480
A_72_P146661,A_23_P161368
A_72_P146666,A_23_P12128
A_72_P146676,A_23_P46045
A_72_P146676,A_33_P3243093
A_72_P146681,A_33_P3282836
A_72_P146686,A_24_P85158
A_72_P146686,A_33_P3325068
A_72_P146696,A_23_P150555
A_72_P146696,A_23_P127781
A_72_P146711,A_23_P252062
A_72_P146711,A_33_P3350726
A_72_P146721,A_33_P3361348
A_72_P146721,A_23_P55373
A_72_P146726,A_23_P77776
A_72_P146726,A_33_P3412945
A_72_P146731,A_32_P107617
A_72_P146741,A_23_P308058
A_72_P146746,A_23_P135548
A_72_P146746,A_24_P410610
A_72_P146751,A_23_P218675
A_72_P146751,A_24_P14464
A_72_P146756,A_33_P3394075
A_72_P146761,A_23_P213706
A_72_P146766,A_33_P3347330
A_72_P146766,A_23_P93844
A_72_P146776,A_33_P3283906
A_72_P146781,A_24_P273666
A_72_P146781,A_24_P53595
A_72_P146781,A_24_P168574
A_72_P146781,A_24_P168581
A_72_P146786,A_33_P3394465
A_72_P146791,A_24_P133253
A_72_P146796,A_23_P27346
A_72_P146796,A_19_P00804817
A_72_P146796,A_19_P00812250
A_72_P146796,A_19_P00323665
A_72_P146801,A_23_P34537
A_72_P146806,A_24_P108451
A_72_P146811,A_23_P101208
A_72_P146811,A_33_P3311076
A_72_P146816,A_23_P51217
A_72_P146821,A_23_P200838
A_72_P146831,A_23_P60210
A_72_P146831,A_23_P216455
A_72_P146836,A_33_P3299119
A_72_P146836,A_33_P3328312
A_72_P146841,A_24_P314451
A_72_P146846,A_23_P332820
A_72_P146851,A_23_P417282
A_72_P146856,A_23_P7727
A_72_P146866,A_23_P134484
A_72_P146866,A_33_P3710082
A_72_P146871,A_33_P3268368
A_72_P146876,A_23_P67453
A_72_P146886,A_23_P50121
A_72_P146891,A_32_P197489
A_72_P146901,A_23_P73526
A_72_P146911,A_24_P88696
A_72_P146921,A_23_P157513
A_72_P146926,A_23_P98786
A_72_P146926,A_23_P422350
A_72_P146931,A_23_P26847
A_72_P146936,A_23_P109895
A_72_P146941,A_23_P144394
A_72_P146946,A_23_P502142
A_72_P146951,A_33_P3361027
A_72_P146956,A_23_P51039
A_72_P146961,A_33_P3304170
A_72_P146966,A_33_P3222424
A_72_P146966,A_23_P501754
A_72_P146971,A_23_P250245
A_72_P146971,A_33_P3417215
A_72_P146976,A_33_P3315929
A_72_P146976,A_24_P916614
A_72_P146981,A_23_P65427
A_72_P146996,A_23_P87036
A_72_P147001,A_33_P3262301
A_72_P147001,A_23_P105524
A_72_P147006,A_23_P23611
A_72_P147006,A_33_P3365193
A_72_P147011,A_23_P160262
A_72_P147021,A_24_P365767
A_72_P147026,A_23_P6909
A_72_P147031,A_23_P119266
A_72_P147036,A_23_P74299
A_72_P147041,A_23_P213857
A_72_P147046,A_23_P52336
A_72_P147051,A_23_P69840
A_72_P147051,A_33_P3237210
A_72_P147091,A_33_P3329949
A_72_P147091,A_23_P86570
A_72_P147251,A_32_P54037
A_72_P147266,A_32_P54544
A_72_P147311,A_24_P215407
A_72_P147346,A_23_P30294
A_72_P147366,A_24_P225616
A_72_P147436,A_24_P186065
A_72_P147436,A_33_P3317576
A_72_P147436,A_24_P343095
A_72_P147436,A_32_P211045
A_72_P147531,A_23_P74843
A_72_P147866,A_33_P3297517
A_72_P147866,A_23_P212639
A_72_P147866,A_24_P145911
A_72_P148026,A_23_P87709
A_72_P148106,A_24_P343255
A_72_P148126,A_33_P3232193
A_72_P148126,A_23_P152305
A_72_P148211,A_23_P121586
A_72_P148211,A_24_P51201
A_72_P148906,A_24_P4816
A_72_P148906,A_33_P3812669
A_72_P148916,A_23_P31844
A_72_P149331,A_23_P308581
A_72_P149341,A_23_P202602
A_72_P149411,A_24_P300777
A_72_P149506,A_23_P363954
A_72_P149781,A_33_P3349546
A_72_P149921,A_23_P150053
A_72_P149981,A_23_P67381
A_72_P150086,A_33_P3377151
A_72_P150086,A_23_P123853
A_72_P150261,A_33_P3330443
A_72_P150526,A_24_P191781
A_72_P150976,A_23_P320717
A_72_P150976,A_33_P3257628
A_72_P151232,A_23_P170587
A_72_P151271,A_23_P115726
A_72_P151361,A_23_P203023
A_72_P151576,A_23_P53176
A_72_P151656,A_33_P3360087
A_72_P151656,A_23_P82351
A_72_P152136,A_23_P76761
A_72_P152356,A_23_P398449
A_72_P152456,A_23_P90601
A_72_P152456,A_24_P200000
A_72_P152751,A_23_P59397
A_72_P152811,A_23_P151506
A_72_P152816,A_23_P218331
A_72_P152936,A_24_P89457
A_72_P153021,A_23_P25735
A_72_P153101,A_23_P58647
A_72_P153101,A_33_P3403418
A_72_P153186,A_24_P347378
A_72_P153236,A_23_P71300
A_72_P153361,A_33_P3337034
A_72_P153361,A_24_P941787
A_72_P153431,A_23_P38959
A_72_P153726,A_23_P27346
A_72_P153726,A_19_P00804817
A_72_P153726,A_19_P00812250
A_72_P153726,A_19_P00323665
A_72_P153831,A_24_P364807
A_72_P153831,A_23_P141021
A_72_P153861,A_23_P48807
A_72_P153966,A_24_P151727
A_72_P153966,A_24_P413437
A_72_P154391,A_23_P367405
A_72_P154686,A_23_P62807
A_72_P154721,A_23_P201567
A_72_P154721,A_33_P3329834
A_72_P154741,A_33_P3303857
A_72_P154741,A_24_P45451
A_72_P154796,A_23_P134925
A_72_P154796,A_33_P3396951
A_72_P154886,A_32_P32739
A_72_P154966,A_24_P242688
A_72_P155091,A_24_P200219
A_72_P155201,A_23_P146274
A_72_P155226,A_23_P87560
A_72_P155306,A_32_P219520
A_72_P155306,A_33_P3404052
A_72_P155311,A_32_P831181
A_72_P155331,A_23_P162945
A_72_P155386,A_23_P126197
A_72_P155576,A_23_P255286
A_72_P155591,A_33_P3284197
A_72_P155591,A_33_P3384543
A_72_P156126,A_23_P74299
A_72_P156339,A_33_P3298535
A_72_P156339,A_23_P143414
A_72_P156366,A_24_P53976
A_72_P156751,A_23_P320739
A_72_P156791,A_23_P120467
A_72_P156791,A_33_P3345314
A_72_P156791,A_23_P501877
A_72_P156791,A_33_P3386181
A_72_P157371,A_23_P391711
A_72_P157406,A_23_P338890
A_72_P157506,A_23_P157299
A_72_P157581,A_23_P86550
A_72_P157621,A_23_P77545
A_72_P157636,A_23_P81926
A_72_P157666,A_23_P208850
A_72_P157676,A_24_P380919
A_72_P157676,A_33_P3362727
A_72_P157791,A_23_P96209
A_72_P157806,A_23_P148194
A_72_P157806,A_32_P52911
A_72_P157816,A_33_P3378925
A_72_P157816,A_23_P150255
A_72_P157961,A_33_P3340154
A_72_P158086,A_23_P95050
A_72_P158086,A_24_P166094
A_72_P158406,A_23_P50942
A_72_P158406,A_33_P3280739
A_72_P158556,A_24_P115511
A_72_P158601,A_23_P147450
A_72_P158641,A_23_P53646
A_72_P159031,A_19_P00805705
A_72_P159031,A_23_P162702
A_72_P159031,A_23_P309292
A_72_P160766,A_23_P54041
A_72_P160776,A_23_P251916
A_72_P160866,A_24_P277934
A_72_P160976,A_33_P3410599
A_72_P161046,A_23_P300905
A_72_P161126,A_33_P3248519
A_72_P161126,A_33_P3716128
A_72_P161321,A_33_P3368471
A_72_P161321,A_23_P382043
A_72_P161436,A_23_P15305
A_72_P161526,A_23_P91891
A_72_P161631,A_33_P3329949
A_72_P161631,A_23_P86570
A_72_P161876,A_33_P3361513
A_72_P161876,A_23_P141315
A_72_P161906,A_23_P67453
A_72_P162006,A_23_P29723
A_72_P162006,A_24_P225970
A_72_P162126,A_23_P254179
A_72_P162126,A_24_P134319
A_72_P162596,A_24_P200219
A_72_P162746,A_23_P92727
A_72_P162781,A_33_P3256685
A_72_P162786,A_23_P157600
A_72_P162791,A_23_P253752
A_72_P162811,A_23_P58529
A_72_P162901,A_23_P149678
A_72_P162971,A_23_P110712
A_72_P163096,A_33_P3351120
A_72_P163116,A_33_P3284129
A_72_P163116,A_23_P419696
A_72_P163116,A_32_P101031
A_72_P163296,A_23_P160559
A_72_P163356,A_23_P61823
A_72_P163556,A_33_P3288839
A_72_P163556,A_24_P181295
A_72_P163626,A_23_P145644
A_72_P163751,A_23_P165840
A_72_P164051,A_33_P3255354
A_72_P164051,A_23_P97906
A_72_P164626,A_33_P3232193
A_72_P164626,A_23_P152305
A_72_P164631,A_23_P206359
A_72_P164666,A_23_P109881
A_72_P164676,A_23_P136125
A_72_P164681,A_23_P375372
A_72_P164681,A_23_P44274
A_72_P164751,A_23_P211985
A_72_P164781,A_23_P153562
A_72_P164951,A_33_P3268716
A_72_P165011,A_33_P3280531
A_72_P165016,A_23_P144677
A_72_P165016,A_23_P156061
A_72_P165021,A_23_P40956
A_72_P165031,A_23_P85240
A_72_P165041,A_33_P3341676
A_72_P165056,A_23_P250294
A_72_P165071,A_23_P40354
A_72_P165071,A_24_P220058
A_72_P165076,A_24_P245298
A_72_P165076,A_33_P3406623
A_72_P165081,A_32_P162004
A_72_P165081,A_23_P257609
A_72_P165086,A_23_P97096
A_72_P165091,A_24_P82957
A_72_P165101,A_23_P143734
A_72_P165106,A_23_P92107
A_72_P165111,A_33_P3303245
A_72_P165111,A_23_P110253
A_72_P165111,A_33_P3407034
A_72_P165116,A_23_P155236
A_72_P165121,A_23_P14986
A_72_P165126,A_23_P161769
A_72_P165126,A_33_P3228445
A_72_P165131,A_24_P253251
A_72_P165136,A_33_P3361067
A_72_P165141,A_24_P304051
A_72_P165146,A_24_P921683
A_72_P165146,A_24_P16559
A_72_P165157,A_23_P19020
A_72_P165157,A_33_P3334673
A_72_P165157,A_33_P3334679
A_72_P165161,A_24_P182929
A_72_P165166,A_23_P85164
A_72_P165166,A_32_P161166
A_72_P165171,A_24_P319354
A_72_P165171,A_33_P3318459
A_72_P165171,A_33_P3318465
A_72_P165176,A_23_P983
A_72_P165181,A_33_P3377609
A_72_P165186,A_23_P117082
A_72_P165196,A_23_P117298
A_72_P165201,A_23_P103149
A_72_P165211,A_33_P3339253
A_72_P165211,A_19_P00316423
A_72_P165226,A_23_P216023
A_72_P165231,A_32_P204676
A_72_P165236,A_23_P110764
A_72_P165246,A_23_P159191
A_72_P165266,A_24_P303091
A_72_P165266,A_33_P3343175
A_72_P165271,A_23_P159920
A_72_P165271,A_24_P276463
A_72_P165271,A_33_P3371402
A_72_P165276,A_23_P72096
A_72_P165281,A_23_P80068
A_72_P165291,A_23_P139722
A_72_P165296,A_23_P214681
A_72_P165296,A_24_P252130
A_72_P165301,A_23_P37702
A_72_P165301,A_23_P140716
A_72_P165306,A_23_P87310
A_72_P165311,A_23_P74059
A_72_P165311,A_33_P3323699
A_72_P165326,A_24_P12626
A_72_P165336,A_23_P47704
A_72_P165341,A_33_P3295358
A_72_P165346,A_23_P162846
A_72_P165356,A_23_P73609
A_72_P165361,A_23_P141974
A_72_P165361,A_24_P82880
A_72_P165376,A_23_P501822
A_72_P165376,A_23_P96158
A_72_P165381,A_33_P3539345
A_72_P165386,A_23_P149613
A_72_P165391,A_23_P44867
A_72_P165396,A_23_P171074
A_72_P165406,A_23_P67381
A_72_P165411,A_23_P400235
A_72_P165416,A_23_P164047
A_72_P165421,A_23_P118888
A_72_P165421,A_24_P356406
A_72_P165426,A_33_P3420757
A_72_P165426,A_24_P202522
A_72_P165431,A_24_P69538
A_72_P165431,A_32_P66881
A_72_P165436,A_33_P3344579
A_72_P165441,A_23_P50907
A_72_P165451,A_24_P394940
A_72_P165456,A_24_P330691
A_72_P165456,A_23_P118435
A_72_P165461,A_23_P62709
A_72_P165466,A_23_P165727
A_72_P165486,A_33_P3327617
A_72_P165486,A_23_P85716
A_72_P165486,A_33_P3403576
A_72_P165496,A_23_P69329
A_72_P165511,A_33_P3251148
A_72_P165521,A_23_P137057
A_72_P165526,A_23_P167493
A_72_P165531,A_32_P63848
A_72_P165536,A_33_P3411628
A_72_P165536,A_23_P43490
A_72_P165546,A_23_P320578
A_72_P165546,A_23_P217845
A_72_P165551,A_24_P397817
A_72_P165556,A_23_P302060
A_72_P165561,A_24_P222655
A_72_P165566,A_23_P250380
A_72_P165571,A_23_P73589
A_72_P165581,A_23_P366812
A_72_P165591,A_23_P96623
A_72_P165596,A_23_P61317
A_72_P165606,A_24_P105933
A_72_P165621,A_23_P48740
A_72_P165621,A_24_P341674
A_72_P165621,A_33_P3325700
A_72_P165626,A_23_P154643
A_72_P165626,A_24_P91566
A_72_P165626,A_23_P68487
A_72_P165631,A_33_P3443165
A_72_P165641,A_23_P129629
A_72_P165646,A_23_P57155
A_72_P165656,A_33_P3286278
A_72_P165661,A_23_P17430
A_72_P165666,A_23_P215634
A_72_P165671,A_23_P301877
A_72_P165676,A_24_P396702
A_72_P165676,A_23_P131435
A_72_P165681,A_23_P105307
A_72_P165686,A_23_P69908
A_72_P165691,A_23_P19020
A_72_P165691,A_33_P3334673
A_72_P165691,A_33_P3334679
A_72_P165696,A_33_P3303717
A_72_P165711,A_23_P145761
A_72_P165721,A_23_P169293
A_72_P165726,A_19_P00809916
A_72_P165726,A_33_P3261084
A_72_P165726,A_33_P3358069
A_72_P165731,A_23_P416747
A_72_P165736,A_24_P158903
A_72_P165746,A_23_P365817
A_72_P165751,A_23_P31755
A_72_P165756,A_23_P253046
A_72_P165761,A_33_P3362008
A_72_P165761,A_23_P62752
A_72_P165766,A_23_P216756
A_72_P165766,A_23_P157879
A_72_P165766,A_23_P157875
A_72_P165771,A_23_P131646
A_72_P165776,A_24_P336596
A_72_P165781,A_23_P391689
A_72_P165786,A_33_P3226825
A_72_P165791,A_33_P3233871
A_72_P165801,A_24_P14367
A_72_P165820,A_23_P346800
A_72_P165826,A_23_P45424
A_72_P165831,A_33_P3245163
A_72_P165831,A_23_P215956
A_72_P165841,A_24_P209047
A_72_P165846,A_23_P106002
A_72_P165936,A_23_P571
A_72_P166026,A_23_P71319
A_72_P166111,A_32_P208120
A_72_P166111,A_33_P3464555
A_72_P166111,A_23_P124252
A_72_P166151,A_23_P213863
A_72_P166306,A_23_P94103
A_72_P166306,A_33_P3366241
A_72_P166316,A_23_P160154
A_72_P166331,A_23_P131348
A_72_P166331,A_33_P3424384
A_72_P166391,A_23_P56380
A_72_P166451,A_33_P3367201
A_72_P166466,A_23_P86133
A_72_P166466,A_33_P3334635
A_72_P166531,A_23_P35883
A_72_P166536,A_23_P38505
A_72_P166536,A_33_P3351249
A_72_P166616,A_23_P215318
A_72_P166646,A_23_P394166
A_72_P166646,A_32_P141262
A_72_P166671,A_23_P257503
A_72_P167041,A_24_P286114
A_72_P167421,A_33_P3262814
A_72_P168046,A_23_P333038
A_72_P168046,A_23_P63725
A_72_P168046,A_23_P350678
A_72_P168361,A_24_P41021
A_72_P168701,A_24_P226755
A_72_P168926,A_32_P62997
A_72_P168991,A_24_P56894
A_72_P169071,A_32_P12580
A_72_P169306,A_24_P385732
A_72_P170151,A_23_P76622
A_72_P170176,A_23_P35916
A_72_P170176,A_33_P3589722
A_72_P170176,A_33_P3218410
A_72_P170476,A_23_P252981
A_72_P170716,A_23_P171255
A_72_P170716,A_23_P171249
A_72_P170916,A_23_P373649
A_72_P170916,A_33_P3403361
A_72_P171261,A_24_P904903
A_72_P171401,A_23_P412409
A_72_P171486,A_24_P363005
A_72_P171486,A_24_P926684
A_72_P171526,A_33_P3291484
A_72_P171526,A_23_P435601
A_72_P171646,A_23_P57155
A_72_P172206,A_23_P59005
A_72_P172226,A_24_P81947
A_72_P172576,A_23_P358662
A_72_P172576,A_23_P385911
A_72_P172716,A_33_P3399788
A_72_P172716,A_23_P2920
A_72_P172716,A_23_P162918
A_72_P172821,A_23_P40354
A_72_P172821,A_24_P220058
A_72_P172921,A_23_P27724
A_72_P172921,A_33_P3326432
A_72_P172986,A_24_P322771
A_72_P173151,A_33_P3367692
A_72_P173151,A_33_P3318288
A_72_P173151,A_23_P114740
A_72_P173666,A_33_P3268649
A_72_P173666,A_23_P404565
A_72_P173811,A_23_P218111
A_72_P173936,A_32_P86289
A_72_P173936,A_23_P37410
A_72_P173936,A_33_P3351371
A_72_P173936,A_24_P920646
A_72_P173991,A_23_P166826
A_72_P173991,A_24_P576174
A_72_P174066,A_33_P3329187
A_72_P174376,A_23_P65481
A_72_P174636,A_23_P8095
A_72_P174666,A_23_P111865
A_72_P174726,A_32_P54242
A_72_P174726,A_33_P3333890
A_72_P174991,A_23_P301328
A_72_P174991,A_23_P68730
A_72_P175186,A_23_P97423
A_72_P175291,A_33_P3398862
A_72_P175291,A_33_P3308446
A_72_P175776,A_23_P434352
A_72_P175776,A_23_P213518
A_72_P175846,A_23_P143694
A_72_P175851,A_23_P376488
A_72_P175911,A_23_P155463
A_72_P175911,A_23_P334798
A_72_P176066,A_33_P3242304
A_72_P176091,A_33_P3372910
A_72_P176091,A_33_P3418170
A_72_P176096,A_24_P124992
A_72_P176116,A_23_P117157
A_72_P176151,A_33_P3319967
A_72_P176151,A_33_P3352382
A_72_P176161,A_23_P12767
A_72_P176161,A_23_P52480
A_72_P176161,A_23_P161368
A_72_P176171,A_32_P87697
A_72_P176191,A_23_P62932
A_72_P176206,A_23_P252236
A_72_P176211,A_23_P33216
A_72_P176216,A_23_P53039
A_72_P176236,A_23_P25813
A_72_P176236,A_24_P309802
A_72_P176246,A_23_P50250
A_72_P176281,A_23_P214627
A_72_P176281,A_33_P3213288
A_72_P176381,A_23_P257043
A_72_P176386,A_23_P41114
A_72_P176416,A_24_P313096
A_72_P176421,A_24_P107291
A_72_P176421,A_24_P98762
A_72_P176441,A_24_P142228
A_72_P176441,A_23_P501849
A_72_P176446,A_23_P139575
A_72_P176446,A_24_P349466
A_72_P176456,A_23_P83436
A_72_P176531,A_33_P3314902
A_72_P176566,A_23_P104146
A_72_P176661,A_33_P3289167
A_72_P176661,A_23_P131024
A_72_P177026,A_23_P145761
A_72_P177161,A_24_P87114
A_72_P177266,A_23_P390032
A_72_P177291,A_33_P3242548
A_72_P177291,A_23_P362759
A_72_P177406,A_23_P6263
A_72_P177431,A_23_P218111
A_72_P177436,A_23_P362824
A_72_P177441,A_23_P17065
A_72_P177451,A_23_P91943
A_72_P177461,A_33_P3226832
A_72_P177466,A_33_P3275801
A_72_P177471,A_24_P928901
A_72_P177471,A_24_P321068
A_72_P177476,A_33_P3311618
A_72_P177476,A_24_P336705
A_72_P177481,A_23_P324885
A_72_P177481,A_23_P212354
A_72_P177486,A_23_P214144
A_72_P177491,A_23_P203030
A_72_P177496,A_23_P119222
A_72_P177496,A_33_P3350863
A_72_P177501,A_23_P92082
A_72_P177506,A_24_P260639
A_72_P177511,A_33_P3395321
A_72_P177511,A_23_P100632
A_72_P177511,A_23_P118435
A_72_P177521,A_23_P109785
A_72_P177536,A_23_P38864
A_72_P177546,A_33_P3365142
A_72_P177546,A_23_P374689
A_72_P177551,A_33_P3383970
A_72_P177556,A_23_P41716
A_72_P177561,A_33_P3406836
A_72_P177566,A_33_P3333317
A_72_P177581,A_23_P210619
A_72_P177591,A_23_P30307
A_72_P177616,A_23_P145644
A_72_P177621,A_32_P538180
A_72_P177631,A_23_P67971
A_72_P177631,A_33_P3273436
A_72_P177631,A_24_P212539
A_72_P177646,A_24_P338648
A_72_P177651,A_23_P82379
A_72_P177651,A_33_P3232478
A_72_P177666,A_23_P160438
A_72_P177671,A_24_P334640
A_72_P177681,A_23_P7957
A_72_P177686,A_23_P30554
A_72_P177691,A_23_P111381
A_72_P177691,A_24_P175059
A_72_P177696,A_23_P203183
A_72_P177701,A_23_P138706
A_72_P177706,A_23_P2271
A_72_P177721,A_23_P41765
A_72_P177726,A_23_P304386
A_72_P177731,A_23_P139786
A_72_P177736,A_24_P849801
A_72_P177736,A_32_P210252
A_72_P177746,A_23_P417974
A_72_P177751,A_23_P73632
A_72_P177756,A_23_P31896
A_72_P177771,A_33_P3237135
A_72_P177781,A_23_P367899
A_72_P177791,A_23_P251412
A_72_P177796,A_33_P3370109
A_72_P177796,A_24_P183864
A_72_P177806,A_33_P3364060
A_72_P177806,A_33_P3324206
A_72_P177816,A_23_P52761
A_72_P177821,A_23_P50946
A_72_P177821,A_33_P3233906
A_72_P177826,A_23_P71037
A_72_P177831,A_23_P168993
A_72_P177841,A_24_P224116
A_72_P177846,A_23_P151133
A_72_P177851,A_23_P121253
A_72_P177851,A_33_P3226810
A_72_P177856,A_23_P17438
A_72_P177856,A_33_P3397288
A_72_P177866,A_23_P133637
A_72_P177866,A_24_P234768
A_72_P177871,A_23_P79231
A_72_P177876,A_23_P328022
A_72_P177876,A_33_P3210418
A_72_P177881,A_23_P11372
A_72_P177896,A_32_P86289
A_72_P177896,A_23_P37410
A_72_P177896,A_33_P3351371
A_72_P177896,A_24_P920646
A_72_P177901,A_24_P154142
A_72_P177906,A_33_P3338733
A_72_P177906,A_23_P426663
A_72_P177906,A_23_P73345
A_72_P177911,A_33_P3414594
A_72_P177911,A_23_P319572
A_72_P177916,A_23_P8900
A_72_P177931,A_23_P217564
A_72_P177936,A_23_P6615
A_72_P177941,A_23_P109034
A_72_P177946,A_23_P23669
A_72_P177956,A_33_P3351120
A_72_P177961,A_23_P137157
A_72_P177971,A_23_P206140
A_72_P177991,A_24_P403417
A_72_P177996,A_23_P47058
A_72_P178006,A_33_P3289236
A_72_P178006,A_23_P206760
A_72_P178011,A_23_P14174
A_72_P178016,A_23_P135248
A_72_P178021,A_23_P32308
A_72_P178026,A_23_P87879
A_72_P178031,A_33_P3323298
A_72_P178036,A_33_P3394615
A_72_P178036,A_33_P3371588
A_72_P178041,A_23_P215720
A_72_P178051,A_23_P113351
A_72_P178056,A_33_P3289286
A_72_P178056,A_23_P170290
A_72_P178061,A_23_P161446
A_72_P178071,A_33_P3219870
A_72_P178071,A_23_P10077
A_72_P178091,A_23_P56654
A_72_P178096,A_23_P71855
A_72_P178101,A_33_P3306110
A_72_P178101,A_33_P3306103
A_72_P178101,A_33_P3261957
A_72_P178106,A_23_P26522
A_72_P178111,A_23_P64873
A_72_P178111,A_33_P3382856
A_72_P178126,A_23_P28057
A_72_P178131,A_23_P161076
A_72_P178136,A_33_P3329187
A_72_P178141,A_23_P95213
A_72_P178151,A_23_P26021
A_72_P178161,A_23_P119943
A_72_P178166,A_24_P81841
A_72_P178166,A_23_P204696
A_72_P178181,A_23_P143474
A_72_P178186,A_23_P310410
A_72_P178366,A_23_P8981
A_72_P178516,A_23_P84189
A_72_P178516,A_33_P3222341
A_72_P178591,A_19_P00809558
A_72_P178591,A_23_P154025
A_72_P178696,A_33_P3360087
A_72_P178696,A_23_P82351
A_72_P178786,A_23_P373799
A_72_P178991,A_24_P216654
A_72_P179006,A_24_P904903
A_72_P179051,A_23_P6223
A_72_P179081,A_24_P338992
A_72_P179251,A_33_P3210423
A_72_P179251,A_24_P940666
A_72_P179291,A_33_P3256685
A_72_P179376,A_32_P88415
A_72_P179526,A_23_P338401
A_72_P179616,A_33_P3296479
A_72_P179616,A_33_P3508822
A_72_P179751,A_23_P25684
A_72_P180436,A_23_P213562
A_72_P180481,A_23_P215566
A_72_P180481,A_33_P3316800
A_72_P180506,A_23_P85903
A_72_P180506,A_33_P3263423
A_72_P180541,A_24_P497226
A_72_P180561,A_23_P212508
A_72_P180651,A_23_P128147
A_72_P180656,A_23_P153867
A_72_P180691,A_23_P34606
A_72_P180701,A_23_P212749
A_72_P180731,A_33_P3303245
A_72_P180731,A_23_P110253
A_72_P180731,A_33_P3407034
A_72_P180756,A_24_P117029
A_72_P180766,A_24_P174793
A_72_P180771,A_24_P253251
A_72_P180776,A_23_P217564
A_72_P180811,A_23_P395534
A_72_P180821,A_23_P10062
A_72_P180821,A_33_P3221723
A_72_P180841,A_23_P64873
A_72_P180841,A_33_P3382856
A_72_P180891,A_33_P3332018
A_72_P181041,A_23_P154840
A_72_P181051,A_23_P211039
A_72_P181051,A_33_P3390013
A_72_P181146,A_23_P31372
A_72_P181196,A_23_P51187
A_72_P181286,A_24_P88554
A_72_P181676,A_24_P383609
A_72_P181781,A_23_P19691
A_72_P181911,A_33_P3209476
A_72_P182046,A_32_P332551
A_72_P183711,A_33_P3332145
A_72_P183711,A_33_P3240258
A_72_P183811,A_33_P3298577
A_72_P183811,A_33_P3780901
A_72_P184466,A_32_P2738
A_72_P184481,A_23_P156471
A_72_P184481,A_32_P55804
A_72_P184591,A_23_P44569
A_72_P184606,A_23_P201086
A_72_P184661,A_33_P3238455
A_72_P184661,A_33_P3220530
A_72_P184686,A_23_P139388
A_72_P184686,A_32_P110243
A_72_P184886,A_23_P216549
A_72_P185176,A_24_P339514
A_72_P185176,A_23_P208373
A_72_P185181,A_23_P254594
A_72_P185186,A_23_P203900
A_72_P185191,A_33_P3231357
A_72_P185201,A_23_P112478
A_72_P185206,A_24_P71373
